instname,n,p,q,nonzeroA,nonzeroG,cbfbytes,epinormeucldim,epinorminfdim,epinormspectraldim,epiperexpdim,epipersquaredim,hypogeomeandim,hypoperlogdim,hypoperlogdettridim,nonnegativedim,nonpositivedim,semidefiniterealdim,semidefinitecomplexdim,powerdim,wsospolyinterprealdim,wsospolyinterpcomplexdim,epinormeucl,epinorminf,epinormspectral,epiperexp,epipersquare,hypogeomean,hypoperlog,hypoperlogdettri,nonnegative,nonpositive,semidefinitereal,semidefinitecomplex,power,wsospolyinterpreal,wsospolyinterpcomplex,isdiscrete
2013_firLinf,59856,2001,59856,79771354,59856,595862805,59856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
2013_wbNRL,40450,1042,40450,39138234,40450,304887309,3369,0,0,0,0,0,0,0,37081,0,0,0,0,0,0,9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,false
2013i_wbNRL,63312,1710,63312,101934231,63312,793003179,5195,0,0,0,0,0,0,0,58117,0,0,0,0,0,0,9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,false
20_0_1_w,2880,541,11145,1957,39900,131652,0,0,0,0,1440,0,0,0,6419,3286,0,0,0,0,0,0,0,0,0,480,0,0,0,1,1,0,0,0,0,0,true
20_0_2_w,2880,530,11106,1946,39280,130401,0,0,0,0,1440,0,0,0,6358,3308,0,0,0,0,0,0,0,0,0,480,0,0,0,1,1,0,0,0,0,0,true
20_0_3_w,2880,551,10779,1967,36251,120880,0,0,0,0,1440,0,0,0,6073,3266,0,0,0,0,0,0,0,0,0,480,0,0,0,1,1,0,0,0,0,0,true
20_0_4_w,2880,527,10443,1943,34059,115025,0,0,0,0,1440,0,0,0,5689,3314,0,0,0,0,0,0,0,0,0,480,0,0,0,1,1,0,0,0,0,0,true
20_0_5_w,2880,516,10572,1932,35141,118869,0,0,0,0,1440,0,0,0,5796,3336,0,0,0,0,0,0,0,0,0,480,0,0,0,1,1,0,0,0,0,0,true
2D-TopOpt-Cantilever_60x40_50,67201,38520,47804,257600,73409,1057516,0,0,0,0,33600,0,0,0,9502,4702,0,0,0,0,0,0,0,0,0,2400,0,0,0,1,1,0,0,0,0,0,true
2D-TopOpt-MBB_60x40_50,67201,38560,47804,258548,73409,1052462,0,0,0,0,33600,0,0,0,9502,4702,0,0,0,0,0,0,0,0,0,2400,0,0,0,1,1,0,0,0,0,0,true
2D-TopOpt-Zhou-Rozvany_75,2801,1670,1702,10656,1801,41051,0,0,0,0,1400,0,0,0,201,101,0,0,0,0,0,0,0,0,0,100,0,0,0,1,1,0,0,0,0,0,true
2g_4_164_k3_5_6,120,0,408,0,840,3667,0,0,0,0,0,0,0,0,272,0,136,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,true
2g_5_25_k3_8_9,300,0,975,0,2100,9181,0,0,0,0,0,0,0,0,650,0,325,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,true
2g_6_701_k10_3_4,630,0,1998,0,4410,19277,0,0,0,0,0,0,0,0,1332,0,666,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,true
2g_6_701_k18_2_2,630,0,1998,0,4410,19281,0,0,0,0,0,0,0,0,1332,0,666,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,true
2g_6_701_k2_18_18,630,0,1998,0,4410,19240,0,0,0,0,0,0,0,0,1332,0,666,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,true
2g_6_701_k3_12_12,630,0,1998,0,4410,19267,0,0,0,0,0,0,0,0,1332,0,666,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,true
2g_6_701_k4_9_9,630,0,1998,0,4410,19272,0,0,0,0,0,0,0,0,1332,0,666,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,true
2g_6_701_k5_7_8,630,0,1998,0,4410,19271,0,0,0,0,0,0,0,0,1332,0,666,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,true
2g_6_701_k6_6_6,630,0,1998,0,4410,19268,0,0,0,0,0,0,0,0,1332,0,666,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,true
2g_6_701_k7_5_6,630,0,1998,0,4410,19274,0,0,0,0,0,0,0,0,1332,0,666,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,true
2g_6_701_k8_4_5,630,0,1998,0,4410,19275,0,0,0,0,0,0,0,0,1332,0,666,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,true
2g_6_701_k9_4_4,630,0,1998,0,4410,19269,0,0,0,0,0,0,0,0,1332,0,666,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,true
2g_7_77_k3_16_17,1176,0,3675,0,8232,36011,0,0,0,0,0,0,0,0,2450,0,1225,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,true
2pm_5_55_k10_2_3,300,0,975,0,2100,8972,0,0,0,0,0,0,0,0,650,0,325,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,true
2pm_5_55_k2_12_13,300,0,975,0,2100,8993,0,0,0,0,0,0,0,0,650,0,325,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,true
2pm_5_55_k3_8_9,300,0,975,0,2100,8964,0,0,0,0,0,0,0,0,650,0,325,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,true
2pm_5_55_k4_6_7,300,0,975,0,2100,8970,0,0,0,0,0,0,0,0,650,0,325,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,true
2pm_5_55_k5_5_5,300,0,975,0,2100,8967,0,0,0,0,0,0,0,0,650,0,325,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,true
2pm_5_55_k6_4_5,300,0,975,0,2100,8966,0,0,0,0,0,0,0,0,650,0,325,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,true
2pm_5_55_k7_3_4,300,0,975,0,2100,8970,0,0,0,0,0,0,0,0,650,0,325,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,true
2pm_5_55_k8_3_4,300,0,975,0,2100,8976,0,0,0,0,0,0,0,0,650,0,325,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,true
2pm_5_55_k9_2_3,300,0,975,0,2100,8966,0,0,0,0,0,0,0,0,650,0,325,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,true
2x3_3bars,37,0,140,0,249,1212,0,0,0,0,0,0,0,0,85,0,55,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,true
2x4_16bars,337,0,799,0,2627,12616,0,0,0,0,0,0,0,0,694,0,105,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,true
2x4_2scen_3bars,64,0,284,0,497,2395,0,0,0,0,0,0,0,0,148,0,136,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,true
2x4_2scen_6bars,127,0,410,0,989,4691,0,0,0,0,0,0,0,0,274,0,136,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,true
2x4_3bars,64,0,253,0,495,2322,0,0,0,0,0,0,0,0,148,0,105,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,true
2x4_3bars_nominal,64,0,253,0,495,2330,0,0,0,0,0,0,0,0,148,0,105,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,true
2x4_8bars_2scen,169,0,494,0,1317,6267,0,0,0,0,0,0,0,0,358,0,136,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,true
2x5_1scen_12bars,385,0,972,0,3267,15694,0,0,0,0,0,0,0,0,801,0,171,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,true
2x5_1scen_3bars_nominal,97,0,396,0,819,3846,0,0,0,0,0,0,0,0,225,0,171,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,true
2x5_1scen_6bars,193,0,588,0,1635,7784,0,0,0,0,0,0,0,0,417,0,171,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,true
2x5_1scen_8bars,257,0,716,0,2179,10436,0,0,0,0,0,0,0,0,545,0,171,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,true
2x5_2scen_3bars,97,0,435,0,821,3932,0,0,0,0,0,0,0,0,225,0,210,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,true
2x5_2scen_4bars,129,0,499,0,1093,5175,0,0,0,0,0,0,0,0,289,0,210,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,true
2x5_3bars,97,0,396,0,819,3841,0,0,0,0,0,0,0,0,225,0,171,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,true
2x6_3bars,136,0,569,0,1221,5865,0,0,0,0,0,0,0,0,316,0,253,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,true
2x7_3bars,181,0,772,0,1701,8225,0,0,0,0,0,0,0,0,421,0,351,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,true
3g_244_244_k10_3_4,496,0,1584,0,3472,15223,0,0,0,0,0,0,0,0,1056,0,528,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,true
3g_244_244_k16_2_2,496,0,1584,0,3472,15227,0,0,0,0,0,0,0,0,1056,0,528,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,true
3g_244_244_k2_16_16,496,0,1584,0,3472,15193,0,0,0,0,0,0,0,0,1056,0,528,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,true
3g_244_244_k3_10_11,496,0,1584,0,3472,15214,0,0,0,0,0,0,0,0,1056,0,528,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,true
3g_244_244_k4_8_8,496,0,1584,0,3472,15219,0,0,0,0,0,0,0,0,1056,0,528,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,true
3g_244_244_k5_6_7,496,0,1584,0,3472,15215,0,0,0,0,0,0,0,0,1056,0,528,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,true
3g_244_244_k6_5_6,496,0,1584,0,3472,15214,0,0,0,0,0,0,0,0,1056,0,528,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,true
3g_244_244_k7_4_5,496,0,1584,0,3472,15222,0,0,0,0,0,0,0,0,1056,0,528,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,true
3g_244_244_k8_4_4,496,0,1584,0,3472,15223,0,0,0,0,0,0,0,0,1056,0,528,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,true
3g_244_244_k9_3_4,496,0,1584,0,3472,15217,0,0,0,0,0,0,0,0,1056,0,528,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,true
3pm_234_234_k10_2_3,276,0,900,0,1932,8230,0,0,0,0,0,0,0,0,600,0,300,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,true
3pm_234_234_k12_2_2,276,0,900,0,1932,8234,0,0,0,0,0,0,0,0,600,0,300,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,true
3pm_234_234_k2_12_12,276,0,900,0,1932,8275,0,0,0,0,0,0,0,0,600,0,300,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,true
3pm_234_234_k3_8_8,276,0,900,0,1932,8223,0,0,0,0,0,0,0,0,600,0,300,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,true
3pm_234_234_k4_6_6,276,0,900,0,1932,8230,0,0,0,0,0,0,0,0,600,0,300,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,true
3pm_234_234_k5_5_6,276,0,900,0,1932,8231,0,0,0,0,0,0,0,0,600,0,300,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,true
3pm_234_234_k6_4_4,276,0,900,0,1932,8223,0,0,0,0,0,0,0,0,600,0,300,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,true
3pm_234_234_k7_3_4,276,0,900,0,1932,8237,0,0,0,0,0,0,0,0,600,0,300,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,true
3pm_234_234_k8_3_3,276,0,900,0,1932,8232,0,0,0,0,0,0,0,0,600,0,300,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,true
3pm_234_234_k9_2_3,276,0,900,0,1932,8225,0,0,0,0,0,0,0,0,600,0,300,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,true
3x3_2bars_3scen,53,0,302,0,391,1860,0,0,0,0,0,0,0,0,131,0,171,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,true
3x3_2fixed_8bars,225,0,613,0,1843,8458,0,0,0,0,0,0,0,0,477,0,136,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,true
3x3_2scen_6bars,157,0,475,0,1157,5449,0,0,0,0,0,0,0,0,339,0,136,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,true
3x3_2scen_8bars,209,0,579,0,1541,7293,0,0,0,0,0,0,0,0,443,0,136,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,true
3x3_2scen_small_rob,79,0,319,0,581,2759,0,0,0,0,0,0,0,0,183,0,136,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,true
3x3_3scen,105,0,406,0,775,3681,0,0,0,0,0,0,0,0,235,0,171,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,true
3x3_3scen_6bars,157,0,510,0,1159,5507,0,0,0,0,0,0,0,0,339,0,171,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,true
3x3_3scen_8bars,209,0,614,0,1543,7408,0,0,0,0,0,0,0,0,443,0,171,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,true
3x3_5bars_2scen,131,0,423,0,965,4392,0,0,0,0,0,0,0,0,287,0,136,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,true
3x4_1scen_4bars,189,0,634,0,1555,7240,0,0,0,0,0,0,0,0,424,0,210,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,true
3x4_1scen_6bars,283,0,822,0,2331,10971,0,0,0,0,0,0,0,0,612,0,210,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,true
3x4_1scen_8bars,377,0,1010,0,3107,14773,0,0,0,0,0,0,0,0,800,0,210,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,true
3x4_2fixed_4bars_nominal,197,0,673,0,1762,8105,0,0,0,0,0,0,0,0,442,0,231,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,true
4x3_2bars_3scen,95,0,536,0,783,3684,0,0,0,0,0,0,0,0,236,0,300,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,true
4x4_1bar,84,0,601,0,717,3558,0,0,0,0,0,0,0,0,250,0,351,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,true
4x4_1bar_2scen,84,0,656,0,719,3595,0,0,0,0,0,0,0,0,250,0,406,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,true
4x5_2bars,255,0,1164,0,2235,10900,0,0,0,0,0,0,0,0,636,0,528,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,true
50_0_1_w,7200,1309,27633,4885,97752,312804,0,0,0,0,3600,0,0,0,15803,8230,0,0,0,0,0,0,0,0,0,1200,0,0,0,1,1,0,0,0,0,0,true
50_0_2_w,7200,1308,27852,4884,99495,318451,0,0,0,0,3600,0,0,0,16020,8232,0,0,0,0,0,0,0,0,0,1200,0,0,0,1,1,0,0,0,0,0,true
50_0_3_w,7200,1323,27351,4899,95437,309428,0,0,0,0,3600,0,0,0,15549,8202,0,0,0,0,0,0,0,0,0,1200,0,0,0,1,1,0,0,0,0,0,true
50_0_4_w,7200,1307,26199,4883,87248,284588,0,0,0,0,3600,0,0,0,14365,8234,0,0,0,0,0,0,0,0,0,1200,0,0,0,1,1,0,0,0,0,0,true
50_0_5_w,7200,1291,26127,4867,86141,281982,0,0,0,0,3600,0,0,0,14261,8266,0,0,0,0,0,0,0,0,0,1200,0,0,0,1,1,0,0,0,0,0,true
5x5_1bar,197,0,1492,0,1869,9335,0,0,0,0,0,0,0,0,589,0,903,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,true
75_0_1_w,10800,1962,41226,7338,144269,452917,0,0,0,0,5400,0,0,0,23502,12324,0,0,0,0,0,0,0,0,0,1800,0,0,0,1,1,0,0,0,0,0,true
75_0_2_w,10800,1940,41460,7316,146368,462608,0,0,0,0,5400,0,0,0,23692,12368,0,0,0,0,0,0,0,0,0,1800,0,0,0,1,1,0,0,0,0,0,true
75_0_3_w,10800,1954,41442,7330,145940,462134,0,0,0,0,5400,0,0,0,23702,12340,0,0,0,0,0,0,0,0,0,1800,0,0,0,1,1,0,0,0,0,0,true
75_0_4_w,10800,1966,41238,7342,145326,459300,0,0,0,0,5400,0,0,0,23522,12316,0,0,0,0,0,0,0,0,0,1800,0,0,0,1,1,0,0,0,0,0,true
75_0_5_w,10800,1932,39252,7308,130651,420122,0,0,0,0,5400,0,0,0,21468,12384,0,0,0,0,0,0,0,0,0,1800,0,0,0,1,1,0,0,0,0,0,true
HMCR-n100-m1200,6102,3601,6102,8401,126924,1458526,0,0,0,0,0,0,0,0,2501,1,0,0,3600,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1200,0,0,false
HMCR-n100-m1600,8102,4801,8102,11201,169133,1939797,0,0,0,0,0,0,0,0,3301,1,0,0,4800,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1600,0,0,false
HMCR-n100-m2000,10102,6001,10102,14001,211278,2414214,0,0,0,0,0,0,0,0,4101,1,0,0,6000,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2000,0,0,false
HMCR-n100-m400,2102,1201,2102,2801,42514,495319,0,0,0,0,0,0,0,0,901,1,0,0,1200,0,0,0,0,0,0,0,0,0,0,1,1,0,0,400,0,0,false
HMCR-n100-m800,4102,2401,4102,5601,84722,981130,0,0,0,0,0,0,0,0,1701,1,0,0,2400,0,0,0,0,0,0,0,0,0,0,1,1,0,0,800,0,0,false
HMCR-n20-m1200,6022,3601,6022,8401,31174,330266,0,0,0,0,0,0,0,0,2421,1,0,0,3600,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1200,0,0,false
HMCR-n20-m1600,8022,4801,8022,11201,41529,437692,0,0,0,0,0,0,0,0,3221,1,0,0,4800,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1600,0,0,false
HMCR-n20-m2000,10022,6001,10022,14001,51872,543421,0,0,0,0,0,0,0,0,4021,1,0,0,6000,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2000,0,0,false
HMCR-n20-m400,2022,1201,2022,2801,10438,112542,0,0,0,0,0,0,0,0,821,1,0,0,1200,0,0,0,0,0,0,0,0,0,0,1,1,0,0,400,0,0,false
HMCR-n20-m800,4022,2401,4022,5601,20811,223113,0,0,0,0,0,0,0,0,1621,1,0,0,2400,0,0,0,0,0,0,0,0,0,0,1,1,0,0,800,0,0,false
HMCR-n500-m1200,6502,3601,6502,8401,605601,7162405,0,0,0,0,0,0,0,0,2901,1,0,0,3600,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1200,0,0,false
HMCR-n500-m1600,8502,4801,8502,11201,807014,9528259,0,0,0,0,0,0,0,0,3701,1,0,0,4800,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1600,0,0,false
HMCR-n500-m2000,10502,6001,10502,14001,1007846,11856813,0,0,0,0,0,0,0,0,4501,1,0,0,6000,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2000,0,0,false
